Molecule_name,Bioavailability,ACD_logS_Intrinsic,ACD_LogP,ACD_MW,ACD_PSA,ACD_FRB,ACD_Rule_Of_5,ACD_LogD_3,ACD_LogD_4,Num_H_Donors,Num_H_Acceptors,Num_H_total,Molecular_Volume,Molecular_SurfaceArea,RadOfGyration,ACD_LogD_2**2,ACD_LogD_3**2,ACD_MW**2,canonical_smiles
Pimecrolimus,0,-4.1399999,3.8099999,792.01001,178.36,9,2,3.8099999,3.8099999,3,12,15,575.89001,807.96997,6.350605,14.5161,14.5161,627279.88,CC[C@@H]1/C=C(/C[C@@H](C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC1=O)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC)C)\C
Netilmicin,0,0.31999999,-1.9,475.57999,199.73,14,2,-7.4400001,-6.8499999,8,12,20,328.25,482.70999,5.1165786,71.064903,55.3536,226176.33,CCN[C@@H]1C[C@@H]([C@H]([C@@H]([C@H]1O[C@@H]2[C@@H]([C@H]([C@@](CO2)(C)O)NC)O)O)O[C@H]3[C@@H](CC=C(O3)CN)N)N
Novobiocin,0,-4.1399999,2.4400001,612.62,196.10001,12,3,0.55000001,-0.30000001,5,11,16,395.82001,597.20001,7.2491317,2.25,0.30250001,375303.25,Cc1c(ccc2c1oc(c(c2=O)NC(=O)c3ccc(c(c3)CC=C(C)C)O)O)O[C@H]4[C@@H]([C@@H]([C@H](C(O4)(C)C)OC)OC(=O)N)O
Epirubicin,0,-4.98,2.6300001,557.54999,206.07001,12,3,0.49000001,1,6,12,18,353.97,521.96997,5.2892885,0.032400001,0.24010001,310862,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3O)C(=O)c5cccc(c5C4=O)OC)O)(CC(=O)CO)O)N)O
Amikacin,0,0.23,-3.3399999,585.59998,331.94,22,3,-9.3299999,-8.6700001,13,17,30,374.20999,569.88,4.9967184,88.924904,87.048897,342927.34,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N
Vidarabine,0,-1.6900001,-1.02,267.23999,139.53999,5,1,-1.03,-1.02,4,8,12,159.14999,253.63,3.4634049,1.0609,1.0609,71417.211,c1nc(c2c(n1)n(cn2)[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)N
Gentamicin_C1a,0,0.34999999,-0.63,448.54999,187.7,12,2,-5.9200001,-5.21,7,11,18,306.98001,454.47,4.8412027,41.602497,35.046402,201197.09,CC[C@@H]1CC[C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@](CO3)(C)O)NC)O)N)N)N
Gentamicin_C1,0,0.31999999,-1.89,477.60001,199.73,13,2,-8.1499996,-7.6599998,8,12,20,333.39001,487.79001,5.2669954,75.342407,66.422493,228101.77,C[C@H]([C@@H]1CC[C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@](CO3)(C)O)NC)O)N)N)N)NC
Docetaxel,0,-6.8200002,6.5500002,807.88,224.45,17,4,6.5500002,6.5500002,5,14,19,543.65002,781.14001,5.8382478,42.902504,42.902504,652670.13,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](c5ccccc5)NC(=O)OC(C)(C)C)O)O)OC(=O)c6ccccc6)(CO4)OC(=O)C)O)C)O
Raffinose,0,-1.2,-2.5,504.44,268.67999,19,3,-2.5,-2.5,11,16,27,302.85999,464.14001,4.5765867,6.25,6.25,254459.72,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O
Etidocaine,0,-3.21,3.77,276.42001,32.34,7,0,2.8599999,3.49,1,2,3,216.77,313.56,4.0777302,3.7248998,8.1795998,76408.023,CCC[N@@](CC)[C@@H](CC)C(=O)Nc1c(cccc1C)C
Valaciclovir,0,-2.3499999,-0.88,324.34,146.85001,9,2,-2.1500001,-1.39,3,9,12,207.17,331.41,4.9975257,9.4863997,4.6225004,105196.43,CC(C)[C@@H](C(=O)OCCOCn1cnc2c1[nH]c(nc2=O)N)N
Bortezomib,0,-3.8299999,2.45,384.23999,124.44,11,0,2.4400001,2.4400001,4,6,10,258.26999,397.07001,4.645144,6.0025001,5.9536004,147640.38,B([C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)(O)O
Docosanol,0,-11.83,10.44,326.60001,20.23,21,1,10.44,10.44,1,1,2,266.85001,384.10001,8.4677629,108.99359,108.99359,106667.56,CCCCCCCCCCCCCCCCCCCCCCO
Mitoxantrone,0,-4.52,3.3900001,444.48001,163.17999,16,2,-0.41999999,0.25999999,8,10,18,289.48999,432.53,5.999908,0.44890001,0.17639999,197562.48,c1cc(c2c(c1NCCNCCO)C(=O)c3c(ccc(c3C2=O)O)O)NCCNCCO
Tigecycline,0,-3.95,0.16,585.65002,205.75999,11,3,-2.5599999,-2.52,7,12,19,394.10001,590.21002,6.2136364,10.368401,6.5535998,342985.94,CC(C)(C)NCC(=O)Nc1cc(c2c(c1O)C(=C3[C@@H](C2)C[C@H]4[C@@H](C(=O)/C(=C(\N)/O)/C(=O)[C@]4(C3=O)O)N(C)C)O)N(C)C
Edrophonium,0,0.22,-2.5799999,166.24001,20.23,3,0,-2.53,-2.3299999,1,1,2,129.64999,193.99001,2.8077848,6.6048999,6.4008999,27635.74,CC[N+](C)(C)c1cccc(c1)O
Isoproterenol,0,-0.049699999,0.44,197.23,72.720001,6,0,-0.22,0.27000001,4,4,8,133.42,206.77,3.1873055,1.2544,0.0484,38899.672,CC(C)N[C@H](c1ccc(c(c1)O)O)O
Tirofiban,0,-4.6999998,4.1399999,440.60001,113.11,13,0,1.64,1.64,3,6,9,300.45999,432.19,6.7947764,2.6896,2.6896,194128.36,CCCCS(=O)(=O)N[C@@H](Cc1ccc(cc1)OCCCCC2CCNCC2)C(=O)O
Lucifer_Yellow_CH,0,-3.3099999,-2.8099999,460.39999,268.07999,6,2,-7.29,-7.3000002,7,12,19,240.44,380.67999,4.3384213,51.9841,53.1441,211968.16,c1c(cc2c3c1c(c(cc3C(=O)N(C2=O)NNC(=O)NN)S(=O)(=O)O)N)S(=O)(=O)O
Meropenem,0,-1.1,-2.5899999,383.45999,135.48,6,0,-5.0599999,-5.21,3,7,10,260.32999,368.25,4.7436733,25.502502,25.6036,147041.56,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3CC[C@H](N3)C(=O)N(C)C)C(=O)O)[C@@H](C)O
Ampiroxicam,0,-4.8299999,3.1199999,447.45999,132.50999,7,1,3.1199999,3.1199999,1,8,9,277.82001,412.31,4.6426601,9.6720991,9.7343988,200220.44,CCOC(=O)O[C@H](C)OC1=C([N@@](S(=O)(=O)c2c1cccc2)C)C(=O)Nc3ccccn3
Amdinocillin_pivoxil,0,-4.5700002,2.97,439.57001,113.81,7,0,1.5,2.2,0,8,8,308.01001,446.82001,5.6239042,1.1235999,2.25,193221.8,CC1([C@H](N2[C@@H](S1)[C@@H](C2=O)/N=C/N3CCCCCC3)C(=O)OCOC(=O)C(C)(C)C)C
Cefacetrile,0,-4.1300001,0.85000002,339.32001,162.10001,6,0,-3.8800001,-4.1999998,2,8,10,201.67999,319.97,4.1582298,6.3504,15.0544,115138.07,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC#N)SC1)C(=O)O
Cefoxitin,0,-4.23,0.63,427.45001,201.8,8,1,-2.8800001,-3.0799999,3,8,11,261.35999,389.56,4.217802,4.8400002,8.2944002,182713.52,CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)Cc3ccsc3
Piperacillin,0,-4.8899999,1.88,517.54999,181.73,6,2,-1.7,-1.85,3,8,11,328.59,487.79999,4.6837287,1.21,2.8900001,267858,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](c2ccccc2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O
Azlocillin,0,-3.51,-0.34,461.48999,173.45,5,1,-3.9100001,-4.0599999,4,7,11,290.85999,425.34,4.7742119,11.0224,15.2881,212973.02,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)NC(=O)N4CCNC4=O)C(=O)O)C
Meticillin,0,-3,1.27,380.42001,130.47,5,0,-2.3399999,-2.46,2,7,9,247.98,363.48001,4.3847876,3.1683998,5.4755998,144719.39,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)c3c(cccc3OC)OC)C(=O)O)C
Ticarcillin,0,-1.87,1.3200001,386.44,189.2,6,0,-3.1800001,-3.3900001,4,8,12,240.44,352.91,3.8375373,6.6563997,10.1124,149335.88,CC1([C@@H]([N@@]2[C@H]([C@H]([C@H]2S1)NC(=O)[C@H](c3ccsc3)C(=O)O)O)C(=O)O)C
Carbimazole,0,-1.3099999,0.34,186.23,64.870003,2,0,0.34,0.34,0,3,3,124.5,188.62,3.341902,0.1156,0.1156,34681.609,CCOC(=O)n1ccn(c1=S)C
Dimercaprol,0,-0.80000001,0.63999999,124.22,97.830002,5,0,0.63999999,0.63,3,3,6,87.120003,137.27,2.1111355,0.40959999,0.40959999,15430.608,C([C@@H](CS)S)O
Cefazolin,0,-5.4000001,1.13,454.51001,234.92999,7,1,-2.3800001,-2.5799999,2,11,13,270.62,398.72,5.5357308,2.9241002,5.6644006,206579.34,Cc1nnc(s1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)Cn4cnnn4)SC2)C(=O)O
Ceftazidime,0,-0.63999999,-2.8399999,547.58002,241.92999,9,3,-3.24,-3.28,4,11,15,335.45001,506.10001,5.3619776,10.368401,10.4976,299843.88,CC(C)(C(=O)O)O/N=C(/c1csc(n1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[n+]4ccccc4)C(=O)O
Cefotaxime,0,-4.6199999,1.2,455.47,227.05,8,1,-2.3199999,-2.5599999,3,11,14,273.70999,419.23999,5.0800133,2.6568999,5.3823996,207452.92,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/c3csc(n3)N)SC1)C(=O)O
Ceftriaxone,0,-4.8800001,-0.23999999,554.58002,291.31,8,3,-4.9400001,-5.02,4,15,19,329.95999,498.32001,5.4759202,17.472399,24.403601,307559,Cn1c(nc(=O)c(n1)O)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)O
Ceftizoxime,0,-4.0900002,0.58999997,383.39999,200.75,5,1,-2.74,-3.1099999,3,9,12,229.46001,345.84,4.271596,3.6480999,7.5075998,146995.56,CO/N=C(\c1csc(n1)N)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=CCS3)C(=O)O
Cephalothin,0,-4.27,1.45,396.44,166.55,7,0,-2.04,-2.26,2,7,9,245.92999,357.29001,4.7593498,1.7689002,4.1615996,157164.67,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)Cc3cccs3)SC1)C(=O)O
Rifaximin,0.40000001,-4.4200001,3.22,785.88,198.38,7,3,0.75999999,0.19,5,12,17,530.96002,767.63,5.2250004,2.6896,0.5776,617607.38,Cc1ccn2c(c1)nc3c2c4c(c5c3c6c(c(c5O)C)O[C@@](C6=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@H]([C@@H]([C@@H]([C@H](/C=C/C=C(\C(=O)N4)/C)C)O)C)O)C)OC(=O)C)C)OC)C)O
HI-240,1,-3.1800001,1.59,367.23999,62.959999,3,0,1.59,1.59,1,4,5,206.14,289.54001,4.078968,2.5281,2.5281,134865.2,c1ccc(c(c1)CCN2C(=S)N=C3C=CC(=CN3N2)Br)F
Clodronate,1,-0.66000003,-2.3800001,244.89,140.34,2,0,-7.5700002,-7.9200001,4,6,10,124.16,196.64,2.3971467,50.1264,57.304901,59971.113,C(P(=O)(O)O)(P(=O)(O)O)(Cl)Cl
Barnidipine,1,-4.5,2.3900001,477.51001,113.69,9,0,1.23,1.96,1,8,9,308.01001,457.20001,4.8584108,0.090000004,1.5129,228015.81,CC1=C([C@H](C(=CN1)C(=O)OC)c2cccc(c2)[N+](=O)[O-])C(=O)O[C@H]3CC[N@@](C3)Cc4ccccc4
Nitroglycerin,1,-2.3099999,2.3199999,227.09,165.14999,8,1,2.3199999,2.3199999,0,9,9,113.87,211.67,2.8127148,5.3823996,5.3823996,51569.867,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
Ouabain,1,-3.02,-1.64,584.65002,206.60001,12,3,-1.64,-1.64,8,12,20,388.26999,541.46997,5.2543159,2.6896,2.6896,341815.66,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O
Acarbose,1,-1.14,-4.1599998,645.59998,321.17001,22,3,-4.2399998,-4.1700001,14,19,33,398.22,597.12,6.0172763,21.252102,17.977598,416799.34,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO
Streptomycin,1,-2.1700001,-2.53,581.57001,331.42999,16,3,-7.1399999,-6.4299998,14,15,29,352.60001,566.33002,4.5720034,56.851601,50.979599,338223.69,[H]/N=C(/N)\N[C@@H]1[C@H]([C@@H]([C@H]([C@@H]([C@H]1O)O)O[C@@H]2[C@@H]([C@]([C@@H](O2)C)(C=O)O)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)N/C(=N\[H])/N)O
Ciclesonide,1,-6.29,6.1300001,540.69,99.129997,7,2,6.1300001,6.1300001,1,7,8,386.56,512.09003,5.0429487,37.5769,37.5769,292345.69,CC(C)C(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)O[C@H](O2)C6CCCCC6
Butylscopolamine,1,-0.30000001,-1.99,360.47,59.060001,9,0,-1.99,-1.99,1,4,5,257.92999,353.25,4.4981303,3.9600999,3.9600999,129938.63,CCCC[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@@H](CO)c4ccccc4)C
Diamorphine,1,-3.54,1.52,369.41,65.07,4,0,0.075099997,0.87,0,6,6,244.89999,336.19,3.942023,0.70559996,0.0056400094,136463.75,CC(=O)Oc1ccc2c3c1O[C@@H]4[C@]35CC[N@]([C@H](C2)[C@@H]5C=C[C@@H]4OC(=O)C)C
Diacetylmorphine,1,-3.77,2.04,383.44,65.07,4,0,0.2,1.04,0,6,6,256.56,352.16,3.8174407,0.38440001,0.040000003,147026.23,CC(=O)Oc1ccc2c3c1O[C@@H]4[C@]35CCC[N@@]([C@H](C2)[C@@H]5C=C[C@@H]4OC(=O)C)C
Lactulose,1,0.0208,-3.22,342.29999,189.53,13,2,-3.21,-3.21,8,11,19,209.91,319.85999,3.7770798,10.3041,10.3041,117169.28,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@]([C@H]2O)(CO)O)CO)O)O)O)O
Nystatin,1,-1.6799999,2.0799999,926.09003,319.60999,14,3,-0.43000001,-0.49000001,12,18,30,631.10999,928.62,6.8336015,0.1849,0.1849,857642.75,C[C@H]1/C=C/C=C/CC/C=C\C=C\C=C\C=C\[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H]([C@@H](CC[C@H](C[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O
Kanamycin,1,0.28,-2.96,526.53998,285.69,17,3,-7.04,-5.3000002,11,15,26,332.35999,508.34,4.8930125,61.936897,49.5616,277244.34,CC(=O)NC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N)N)O)O)O
Tobramycin,1,0.33000001,-3.4100001,467.51001,268.17001,16,2,-9.5799999,-8.7200003,10,14,24,302.17999,460.92001,4.8188663,103.83609,91.776398,218565.61,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@H]3[C@@H](C[C@@H]([C@H](O3)CN)O)N)N
Orlistat,1,-7.5300002,8.9499998,495.73001,81.699997,23,1,8.9499998,8.9499998,1,5,6,385.87,535.17999,7.0588107,80.102493,80.102493,245748.25,CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O
Oxitropium,1,-0.2,-2.3599999,332.41,59.060001,7,0,-2.3599999,-2.3599999,1,4,5,231.86,321.32001,4.1703157,5.5695996,5.5695996,110496.41,CC[N+]1([C@@H]2CC(C[C@H]1[C@@H]3[C@H]2O3)OC(=O)[C@H](CO)c4ccccc4)C
Fentanyl,1,-3.4100001,3.8900001,336.47,23.549999,6,0,1.7,2.53,0,2,2,244.89999,341.85001,4.7881846,1.0403999,2.8900001,113212.06,CCC(=O)N(c1ccccc1)C2CCN(CC2)CCc3ccccc3
Capreomycin,1,0.17,-10.95,668.71002,378.42001,14,3,-16.190001,-15.97,14,14,28,421.54001,674.31,5.9558954,276.88959,262.11612,447173.09,C1CNC(=N[C@H]1[C@H]2C(=O)NC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N/C(=C\NC(=O)N)/C(=O)N2)CNC(=O)C[C@H](CCCN)N)CO)N)N
Balsalazide,1,-3.0699999,0.99000001,357.32001,145.16,7,0,-3.73,-3.75,4,8,12,219.17,338.78,5.5655599,12.7449,13.9129,127677.59,c1cc(ccc1C(=O)NCCC(=O)O)N/N=C\2/C=CC(=O)C(=C2)C(=O)O
Terfenadine,1,-5.6300001,6.5100002,471.67001,43.700001,11,1,3.72,4.3800001,2,3,5,351.23001,485.70999,6.7495718,11.9025,13.8384,222472.61,CC(C)(C)c1ccc(cc1)[C@@H](CCCN2CCC(CC2)C(c3ccccc3)(c4ccccc4)O)O
Alendronate,1,0.60000002,-3.52,249.10001,180.92999,7,1,-7.5799999,-7.9200001,6,8,14,137.53999,231.2,2.8853226,51.122501,57.456398,62050.813,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
Pamidronate,1,0.63,-3.4000001,235.07001,180.92999,6,1,-7.6500001,-7.8699999,6,8,14,129.64999,215.24001,2.7290986,51.408901,58.522503,55257.91,C(CN)C(O)(P(=O)(O)O)P(=O)(O)O
Ibandronate,1,-1.08,-0.64999998,319.23001,158.14999,10,1,-4.73,-5.0599999,5,8,13,202.36,315.45999,4.029573,18.4041,22.3729,101907.8,CCCCC[N@](C)CCC(O)(P(=O)(O)O)P(=O)(O)O
Risedronate,1,-0.23,-2.9400001,283.10999,167.8,5,1,-7.8800001,-8.3199997,5,8,13,160.52,250.84,2.9197609,49.702503,62.094402,80151.266,c1cc(cnc1)CC(O)(P(=O)(O)O)P(=O)(O)O
Incadronate,1,-1.1900001,-0.97000003,287.19,152.37,4,1,-5.4200001,-5.5100002,5,7,12,177.33,254.53999,3.3614774,26.112101,29.3764,82478.094,C1CCCC(CC1)NC(P(=O)(O)O)P(=O)(O)O
Remikiren,1,-5.8000002,3.3800001,630.84003,169.86,18,3,2.76,3.23,5,7,12,433.20001,620.08002,5.2906966,3.6099999,7.6176,397959.13,CC(C)(C)S(=O)(=O)C[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N[C@H](CC3CCCCC3)[C@@H]([C@@H](C4CC4)O)O
Fluticasone_propionate,1,-6.0100002,3.73,500.57001,105.97,7,1,3.73,3.73,1,6,7,328.92999,454.47,4.2682509,13.9129,13.9129,250570.33,CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C)C(=O)SCF
Imipenem,1,-1.03,-2.29,299.35001,141.52,7,0,-4.79,-4.79,3,7,10,193.10001,289.95999,4.4304624,22.467598,22.944099,89610.43,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCC/N=C/N)O
Aztreonam,1,-3.45,-0.66000003,435.42999,238.2,7,2,-5.4200001,-5.4699998,4,11,15,253.81,398.62,4.4808059,28.944401,29.3764,189599.28,C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)/C(=N\OC(C)(C)C(=O)O)/c2csc(n2)N
Ramelteon,1.8,-3.6700001,2.5699999,259.34,38.330002,4,0,2.5699999,2.5699999,1,2,3,185.21001,253.50999,3.9798534,6.6048999,6.6048999,67257.234,CCC(=O)NCC[C@@H]1CCc2c1c3c(cc2)OCC3
Neostigmine,2,0.14,-3.03,223.28999,29.540001,3,0,-3.03,-3.03,0,2,2,165.32001,258.25,3.7917724,9.1808996,9.1808996,49858.422,CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C
Paromomycin,2,0.20999999,-3.27,615.63,347.32001,22,3,-9.54,-8.4899998,13,19,32,387.57999,589.21002,5.288918,102.61691,91.011597,379000.31,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)N)O[C@H]3[C@@H]([C@H]([C@@H](O3)CO)O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N
Zanamivir,2,-0.12,-4.1300001,332.31,198.22,9,2,-6.6300001,-6.6300001,8,8,16,202.02,333.81,3.4877367,43.692101,43.956902,110429.94,[H]/N=C(/N)\N[C@H]1C=C(O[C@H]([C@@H]1NC(=O)C)[C@@H]([C@@H](CO)O)O)C(=O)O
